Filepath,Width,Height,BandCount,Band1_Min,Band1_Max,Band1_Mean,Band1_StdDev,Band1_BlockMean,Band1_BandSumVariance,Band2_Min,Band2_Max,Band2_Mean,Band2_StdDev,Band2_BlockMean,Band2_BandSumVariance,Band3_Min,Band3_Max,Band3_Mean,Band3_StdDev,Band3_BlockMean,Band3_BandSumVariance,Band4_Min,Band4_Max,Band4_Mean,Band4_StdDev,Band4_BlockMean,Band4_BandSumVariance,Band5_Min,Band5_Max,Band5_Mean,Band5_StdDev,Band5_BlockMean,Band5_BandSumVariance,Band6_Min,Band6_Max,Band6_Mean,Band6_StdDev,Band6_BlockMean,Band6_BandSumVariance
./sentinel/dataset/chop_no_firee/tile_2_0_6.tif,512,512,6,0.114300,0.815800,0.134898,0.039828,0.134898,31.296411,0.081100,0.906100,0.105382,0.044668,0.105382,37.602793,0.058200,0.910200,0.098629,0.045551,0.098629,36.347273,0.033900,0.988400,0.066210,0.053940,0.066210,53.487791,0.030800,1.046200,0.295455,0.084804,0.295455,70.557354,0.002300,0.540300,0.074693,0.045142,0.074693,29.686546
./sentinel/dataset/chop_no_firee/tile_3_0_1.tif,512,512,6,0.134800,0.184400,0.153748,0.007464,0.153748,1.287355,0.098500,0.209900,0.121413,0.009684,0.121413,1.654237,0.076300,0.197400,0.103857,0.011194,0.103857,2.475688,0.050700,0.217200,0.084354,0.019772,0.084354,5.699024,0.065500,0.448700,0.203591,0.033727,0.203591,10.714490,0.016200,0.266800,0.095084,0.041234,0.095084,28.250981
./sentinel/dataset/chop_no_firee/tile_2_1_2.tif,512,512,6,0.112300,0.167100,0.125613,0.006252,0.125613,0.236538,0.080600,0.291300,0.098337,0.008850,0.098337,0.425459,0.056300,0.306100,0.086297,0.012468,0.086297,0.996720,0.035000,0.348200,0.065545,0.019439,0.065545,2.580818,0.033000,0.572200,0.229840,0.057057,0.229840,55.554820,0.003200,0.998100,0.083424,0.041027,0.083424,14.140142
./sentinel/dataset/chop_no_firee/tile_2_1_3.tif,512,512,6,0.123800,0.223800,0.152567,0.018756,0.152567,35.518362,0.092500,0.202700,0.121797,0.018335,0.121797,29.035926,0.064900,0.237400,0.101204,0.017029,0.101204,17.882332,0.042800,0.209700,0.076938,0.019136,0.076938,16.160061,0.039600,0.425500,0.195130,0.040609,0.195130,32.644081,0.005300,0.294100,0.066951,0.036167,0.066951,40.927128
./sentinel/dataset/chop_no_firee/tile_0_0_1.tif,512,512,6,0.128500,0.190000,0.155986,0.010467,0.155986,14.345889,0.095600,0.161500,0.125155,0.010885,0.125155,10.946395,0.073500,0.146900,0.104900,0.011935,0.104900,6.711048,0.048900,0.163500,0.082827,0.018315,0.082827,6.636734,0.079400,0.427800,0.202846,0.033004,0.202846,23.851767,0.021400,0.236700,0.082236,0.042875,0.082236,32.696337
./sentinel/dataset/chop_no_firee/tile_1_1_3.tif,512,512,6,0.127000,0.214400,0.162695,0.011498,0.162695,21.650324,0.096800,0.227100,0.133249,0.012150,0.133249,19.464121,0.076200,0.200300,0.114081,0.013103,0.114081,15.518540,0.051300,0.189600,0.092933,0.018946,0.092933,19.748364,0.059200,0.472600,0.226373,0.044981,0.226373,69.033878,0.006000,0.276300,0.099176,0.043839,0.099176,58.757748
./sentinel/dataset/chop_no_firee/tile_3_0_7.tif,512,512,6,0.005300,0.608700,0.147999,0.090247,0.147999,604.495457,0.002500,0.926500,0.150831,0.103834,0.150831,689.522733,0.006800,0.965900,0.145235,0.102850,0.145235,638.422551,0.005900,0.978800,0.126899,0.100771,0.126899,574.676037,0.021600,1.593700,0.194152,0.082017,0.194152,315.304459,0.000000,1.691400,0.225714,0.360919,0.225714,5648.055269
./sentinel/dataset/chop_no_firee/tile_3_1_7.tif,512,512,6,0.024800,0.553900,0.095827,0.046220,0.095827,134.371207,0.016100,0.592600,0.101897,0.046378,0.101897,116.345835,0.019800,0.571700,0.106101,0.042164,0.106101,84.277297,0.016300,0.572700,0.114042,0.044974,0.114042,88.703141,0.017600,0.592600,0.150617,0.045040,0.150617,49.262650,0.000000,1.632100,0.191927,0.100117,0.191927,246.524368
./sentinel/dataset/chop_no_firee/tile_1_0_2.tif,512,512,6,0.128100,0.172800,0.142813,0.005995,0.142813,0.350039,0.093700,0.205700,0.113524,0.009133,0.113524,0.423799,0.067500,0.216800,0.098863,0.011747,0.098863,0.607451,0.044500,0.254400,0.081320,0.019121,0.081320,1.429535,0.040300,0.458800,0.211887,0.039117,0.211887,18.953075,0.005400,0.272300,0.106256,0.042204,0.106256,8.269983
./sentinel/dataset/chop_no_firee/tile_3_1_6.tif,512,512,6,0.105600,0.949600,0.155526,0.079637,0.155526,503.550991,0.079200,1.083200,0.128345,0.087314,0.128345,575.688018,0.053700,1.095700,0.120631,0.088157,0.120631,564.551066,0.031000,1.206300,0.095463,0.102757,0.095463,741.633096,0.030600,1.245700,0.285085,0.116127,0.285085,467.201401,0.000900,0.541900,0.088515,0.075511,0.088515,282.233575
